Data,Bloomberg Barclays Euro Government Inflation-Linked Bond
11/2005,10000
12/2005,10150.787031145617
01/2006,10048.359731404069
02/2006,10057.564230972856
03/2006,9832.425747809773
04/2006,9741.78123495853
05/2006,9790.527442721008
06/2006,9815.277440085718
07/2006,9930.063882309334
08/2006,10071.773164695942
09/2006,10067.015711854528
10/2006,10102.851613637094
11/2006,10168.910816263064
12/2006,9980.989255591705
01/2007,9899.625213761092
02/2007,9995.641668960217
03/2007,9911.604301398884
04/2007,9910.6476933778
05/2007,9808.049482567729
06/2007,9734.36320062214
07/2007,9901.639692141547
08/2007,9967.527786113946
09/2007,9991.505028346885
10/2007,10122.806221830733
11/2007,10227.450623421833
12/2007,10171.989586517026
01/2008,10456.396372919375
02/2008,10561.142135641287
03/2008,10480.76631543981
04/2008,10434.69333461553
05/2008,10445.11406896151
06/2008,10444.36660471618
07/2008,10516.538792421226
08/2008,10605.130890562354
09/2008,10512.775982723086
10/2008,9926.199612687858
11/2008,10070.72161705818
12/2008,10563.359237490838
01/2009,10511.71169084958
02/2009,10373.682923987659
03/2009,10636.196694060287
04/2009,10823.00970380687
05/2009,10909.897729681583
06/2009,10976.17230001239
07/2009,11133.756553266317
08/2009,11277.923694886282
09/2009,11406.418587900545
10/2009,11304.548873170977
11/2009,11436.850933727179
12/2009,11421.248333851714
01/2010,11314.728850133153
02/2010,11355.056156486886
03/2010,11612.356348629455
04/2010,11656.376815951096
05/2010,11732.330979104167
06/2010,11598.47046646363
07/2010,11718.75550305238
08/2010,11991.924343340657
09/2010,11853.977969444719
10/2010,11877.891786876504
11/2010,11454.132314982617
12/2010,11533.260188006325
01/2011,11573.688756698342
02/2011,11642.598617637688
03/2011,11669.717857340689
04/2011,11779.537801739665
05/2011,11914.658907001194
06/2011,11888.090830796036
07/2011,11742.530023023697
08/2011,11711.438829846798
09/2011,11668.894322850989
10/2011,11377.259578930649
11/2011,10820.583458181563
12/2011,11424.637510219716
01/2012,11691.427218366149
02/2012,12172.104818118367
03/2012,12133.912418233256
04/2012,12027.950321941624
05/2012,12054.588145669539
06/2012,11980.977835175796
07/2012,12395.862379364817
08/2012,12440.294515138785
09/2012,12476.49792511493
10/2012,12407.480380323164
11/2012,12562.505314420401
12/2012,12677.14603766941
01/2013,12491.745761032558
02/2013,12477.828166466157
03/2013,12552.825820390664
04/2013,12736.414340908681
05/2013,12569.099913059616
06/2013,12173.998967203186
07/2013,12331.165130490652
08/2013,12165.263238166264
09/2013,12235.71248423259
10/2013,12357.76491909638
11/2013,12293.770875416274
12/2013,12182.753664404934
01/2014,12314.453880897885
02/2014,12310.900116182975
03/2014,12362.129572857775
04/2014,12477.980208162371
05/2014,12621.095802144575
06/2014,12716.687844655631
07/2014,12811.62103981642
08/2014,12964.745600899754
09/2014,12883.98330433987
10/2014,12855.045985796422
11/2014,12897.571425834876
12/2014,12825.177448910854
01/2015,13134.644638791955
02/2015,13249.51347398155
03/2015,13406.616311260394
04/2015,13353.986865711604
05/2015,13067.109475840156
06/2015,12822.706845441751
07/2015,13033.845439864974
08/2015,12735.508512245526
09/2015,12812.47618791417
10/2015,13099.632271499091
11/2015,13245.174111106597
12/2015,12930.16396901657
01/2016,13018.160545816056
02/2016,12905.73702320912
03/2016,13081.457805816239
04/2016,13062.84618320957
05/2016,13185.082273377628
06/2016,13354.487249851523
07/2016,13499.129583517484
08/2016,13477.382187369845
09/2016,13545.905670743305
10/2016,13302.345641791957
11/2016,13153.668028643471
12/2016,13419.70394982296
01/2017,13191.575412093509
02/2017,13255.461771921196
03/2017,13058.62082690865
04/2017,13207.399801187947
05/2017,13239.935242290103
06/2017,13207.14007563931
07/2017,13309.263193195906
08/2017,13413.698549803777
09/2017,13368.936940958416
10/2017,13564.472935506175
11/2017,13691.650232612437
12/2017,13607.22638869269
01/2018,13533.755573244467
02/2018,13580.17057379084
03/2018,13752.692256848355
04/2018,13763.480400595394
05/2018,13517.690525558748
06/2018,13690.047521476828
07/2018,13634.269656943847
08/2018,13504.34938537663
09/2018,13494.84090120794
10/2018,13407.173698687324
11/2018,13386.763064197567
12/2018,13408.776409822929
01/2019,13522.986397662262
02/2019,13414.275004188063
03/2019,13585.441056215388
04/2019,13653.464056656407
05/2019,13645.887657902193
06/2019,13959.82728418963
07/2019,14359.68558409495
08/2019,14565.369941996834
09/2019,14494.20484529323
10/2019,14426.251592374969
11/2019,14326.36464362528
12/2019,14288.501519226513
01/2020,14579.825955825338
02/2020,14434.227112930814
03/2020,13531.962785290458
04/2020,13667.59069620604
05/2020,13760.87049966582
06/2020,14060.08796506198
07/2020,14324.255126835624
08/2020,14270.523453083671
09/2020,14291.098774712864
10/2020,14439.282227650518
11/2020,14651.93481752176
12/2020,14735.370341019843
01/2021,14783.780851781841
02/2021,14601.782298163685
03/2021,14925.300057350052
04/2021,14829.828442927159
05/2021,14940.712679199636
06/2021,14979.842620148482
07/2021,15399.497262622137
08/2021,15355.565412195558
09/2021,15412.344143800901
10/2021,15408.638337389772
11/2021,15648.593921060801
12/2021,15671.126717783434
01/2022,15613.530774410006
02/2022,15584.89753925899
03/2022,15919.235154592967
04/2022,15786.103236825451
05/2022,15183.126122104024
06/2022,14721.2691899417
07/2022,15520.49172833403
08/2022,14850.631876496938
09/2022,13972.439829498724
10/2022,14419.34668641424
11/2022,14906.428709194748
12/2022,14157.770457405342
01/2023,14402.673471943659
02/2023,14389.617446989141
03/2023,14612.063636256675
04/2023,14623.155863396138
05/2023,14739.817387747216
06/2023,14685.591553784434
07/2023,14777.395396918382
08/2023,14740.425554532076
09/2023,14243.492830275736
10/2023,14258.759733150724
11/2023,14607.61036560021
12/2023,14997.580027700042
01/2024,14862.927791762902
02/2024,14778.871357244214
03/2024,14932.30000171998
04/2024,14834.655544498806
05/2024,14794.518314963476
06/2024,14670.090413832306
07/2024,14961.326035951015
08/2024,14907.340959372039
09/2024,15095.534989827778
10/2024,14970.365848380367
11/2024,15227.146589425665