Data,ICE US Treasury 7-10 Year Bond
12/2004,10000
01/2005,10531.564847446736
02/2005,10224.140292251572
03/2005,10396.53950368121
04/2005,10658.19021090357
05/2005,11378.966039724179
06/2005,11673.387626615353
07/2005,11447.747809524504
08/2005,11576.528729599579
09/2005,11523.662361401284
10/2005,11405.078555731314
11/2005,11719.874878360666
12/2005,11831.656279538509
01/2006,11455.705403163041
02/2006,11679.984296999972
03/2006,11291.258135118891
04/2006,10824.802582713754
05/2006,10539.554732490777
06/2006,10699.454612667565
07/2006,10822.462388498692
08/2006,10961.258842966408
09/2006,11254.628059079267
10/2006,11286.296434089098
11/2006,10999.680481637384
12/2006,10877.815742961351
01/2007,11018.029866393597
02/2007,11040.711304506387
03/2007,10931.581491697985
04/2007,10764.066672364948
05/2007,10725.218249809144
06/2007,10634.131857566457
07/2007,10703.130234398355
08/2007,10937.772727199334
09/2007,10608.551900984869
10/2007,10526.47983872612
11/2007,10688.857704475038
12/2007,10729.27596454624
01/2008,10975.099674554549
02/2008,10904.922617091068
03/2008,10608.558080165496
04/2008,10536.028831541536
05/2008,10361.873028005868
06/2008,10299.363056041115
07/2008,10459.973755426647
08/2008,11267.15662094939
09/2008,11613.065504842802
10/2008,12856.044647212218
11/2008,13917.51383538613
12/2008,13381.55112708771
01/2009,13962.727949454114
02/2009,14037.844820408629
03/2009,13814.630724320596
04/2009,13464.697147205905
05/2009,12425.488592431038
06/2009,12348.914006364324
07/2009,12419.72180350168
08/2009,12424.519969115243
09/2009,12239.821882785704
10/2009,12104.177795582033
11/2009,12161.599630697327
12/2009,12149.107962854221
01/2010,12812.327488771085
02/2010,13262.868588794898
03/2010,13185.826890976303
04/2010,13566.487611023325
05/2010,15090.819948176917
06/2010,15604.334586465311
07/2010,14856.266356334325
08/2010,15776.12365261909
09/2010,14658.590202105976
10/2010,14427.441961181652
11/2010,15257.882719502739
12/2010,14327.645990670448
01/2011,13987.231580360909
02/2011,13812.931222706482
03/2011,13445.414397666307
04/2011,13058.17558650402
05/2011,13839.58355420322
06/2011,13719.447561400355
07/2011,14323.45783836259
08/2011,14826.020188650768
09/2011,16172.424296989897
10/2011,15376.369466584081
11/2011,16211.423260381478
12/2011,17104.59320458462
01/2012,16949.863661430645
02/2012,16456.69362903329
03/2012,16302.520206748437
04/2012,16894.076469034255
05/2012,18496.580117683698
06/2012,18147.977081519668
07/2012,18849.74430999266
08/2012,18344.00742486915
09/2012,17848.950548365294
10/2012,17705.539198781677
11/2012,17894.658633904353
12/2012,17472.118403778986
01/2013,16752.39827638104
02/2013,17483.35937296721
03/2013,18000.35183460641
04/2013,17888.690660444234
05/2013,17406.599655294256
06/2013,16895.486267227938
07/2013,16570.629684422824
08/2013,16441.269559735018
09/2013,16358.601453528958
10/2013,16337.108950896047
11/2013,16227.484823829787
12/2013,15708.668375831134
01/2014,16456.021268473483
02/2014,16184.494316277149
03/2014,16125.490347469866
04/2014,16183.8663001483
05/2014,16785.110016569648
06/2014,16682.0358804664
07/2014,16983.26134049873
08/2014,17544.714713498
09/2014,18191.55030494208
10/2014,18576.36478205908
11/2014,18877.421514385554
12/2014,19453.854131628454
01/2015,21735.923246697505
02/2015,21352.516658091336
03/2015,22501.81268638678
04/2015,21447.98573567296
05/2015,21894.21746639755
06/2015,21106.484606971368
07/2015,21796.328091997897
08/2015,21364.243645099075
09/2015,21703.954128456844
10/2015,21940.344719367982
11/2015,22749.89122526767
12/2015,22034.494273311702
01/2016,22660.99396646875
02/2016,23069.649082402422
03/2016,22052.791432852908
04/2016,21995.80697086403
05/2016,22470.19117674894
06/2016,23246.38105437888
07/2016,23289.727608123132
08/2016,23050.514313211206
09/2016,22997.907704367008
10/2016,23112.281035286833
11/2016,22831.01038056863
12/2016,22991.936487186646
01/2017,22568.46434761912
02/2017,23079.515173639385
03/2017,22887.921290087845
04/2017,22635.454556703036
05/2017,22240.866593591054
06/2017,21740.94593286598
07/2017,21236.800874663844
08/2017,21369.360147797743
09/2017,21110.11689119095
10/2017,21374.59492588362
11/2017,20933.272589167966
12/2017,20728.33241389873
01/2018,19521.601006758603
02/2018,19725.62147021104
03/2018,19799.249333634383
04/2018,19946.679139277447
05/2018,20817.958283859385
06/2018,20902.099443143034
07/2018,20644.07284965182
08/2018,21026.088532663332
09/2018,20884.56444374443
10/2018,21284.526830330906
11/2018,21493.883071639655
12/2018,21906.314645524046
01/2019,21990.424308480466
02/2019,22047.395238091758
03/2019,22966.706334000188
04/2019,22899.913573005317
05/2019,23728.239959206858
06/2019,23570.791455935392
07/2019,24029.07533859195
08/2019,25244.76565380296
09/2019,25302.87181457904
10/2019,24740.625010335294
11/2019,24965.200799697024
12/2019,24224.67944701868
01/2020,25416.2662855733
02/2020,26389.619467468507
03/2020,27408.40894726473
04/2020,27761.457337445812
05/2020,27145.151457477434
06/2020,27012.18764669083
07/2020,25747.975141978557
08/2020,25336.15267233952
09/2020,25906.554015233178
10/2020,25591.648995112195
11/2020,25062.229325128304
12/2020,24395.579489015414
01/2021,24375.790846825847
02/2021,23732.394953023886
03/2021,24061.776149718826
04/2021,23588.337041193066
05/2021,23452.401727819342
06/2021,24335.823330698477
07/2021,24803.805787624682
08/2021,24830.078207949027
09/2021,24969.186581268783
10/2021,24714.428066957273
11/2021,25608.831994812215
12/2021,25586.645128110373
01/2022,25404.00291200345
02/2022,25204.766825025887
03/2022,24406.97037892921
04/2022,24634.62449576812
05/2022,24401.978138889473
06/2022,24926.626404707957
07/2022,26160.21682473105
08/2022,25657.75781137119
09/2022,25082.63334614244
10/2022,24308.108316074897
11/2022,24058.562474399456
12/2022,23147.94180007083
01/2023,23515.49807810388
02/2023,23219.914012474146
03/2023,23508.899740138615
04/2023,23478.91338152907
05/2023,23787.550750176397
06/2023,23090.593307618306
07/2023,22626.423057560845
08/2023,22777.92611451304
09/2023,22638.07195719867
10/2023,22150.813657877912
11/2023,22482.798497371852
12/2023,23098.073627245707
01/2024,23557.375592301356
02/2024,23097.216395707106
03/2024,23289.89079457154
04/2024,22779.664750821288
05/2024,22903.075872910264
06/2024,23508.630170231052
07/2024,23916.756930409134
08/2024,23685.797335694562
09/2024,23767.337659692654
10/2024,23638.715039442337
11/2024,24589.489909162174
12/2024,24438.861127091244
01/2025,24596.081572867628