Data,MSCI World Small Cap
12/2000,10000
01/2001,10385.49343591951
02/2001,10134.078719723182
03/2001,10031.320991847826
04/2001,10772.875281658406
05/2001,11404.550353773586
06/2001,11379.751650943395
07/2001,10657.865162764136
08/2001,10168.643808691855
09/2001,8864.360201511336
10/2001,9551.569121875693
11/2001,10319.054675207914
12/2001,10688.238454555769
01/2002,10682.919995368762
02/2002,10575.389030169923
03/2002,11308.177498853738
04/2002,11128.606460923622
05/2002,10652.524981357195
06/2002,9505.838746867168
07/2002,8639.867985280589
08/2002,8556.474117766704
09/2002,7889.903904665314
10/2002,7982.6410178426595
11/2002,8380.498992646317
12/2002,7572.656908553449
01/2003,7212.579419378699
02/2003,7110.100491560006
03/2003,7054.206333180358
04/2003,7619.3830742970085
05/2003,7924.440872948741
06/2003,8466.515839677955
07/2003,8891.791570948932
08/2003,9787.834721332478
09/2003,9351.71665808445
10/2003,10203.634658406472
11/2003,10065.13331665833
12/2003,9960.844101346001
01/2004,10595.858365633077
02/2004,10785.647447253987
03/2004,11268.458524214659
04/2004,11007.892106805055
05/2004,10831.956755205772
06/2004,11355.085561497328
07/2004,10875.38782290888
08/2004,10798.13326727768
09/2004,10926.8699734064
10/2004,10957.428319070423
11/2004,11336.14257239564
12/2004,11521.162579839953
01/2005,11887.057192174912
02/2005,12067.511805084107
03/2005,12060.75570811478
04/2005,11594.875974376784
05/2005,12565.183440110291
06/2005,13194.44690704598
07/2005,13878.015463491276
08/2005,13899.677488112802
09/2005,14440.058752698887
10/2005,13981.182358812279
11/2005,14865.94124394596
12/2005,15441.551665677714
01/2006,16170.873700280576
02/2006,16371.471663157894
03/2006,16815.958484798415
04/2006,16663.275544388613
05/2006,15330.038117811626
06/2006,15278.995909698733
07/2006,14790.846675021538
08/2006,15107.320247451564
09/2006,15390.661097946286
10/2006,16021.955261499685
11/2006,15948.48803030303
12/2006,16260.151898253607
01/2007,16832.826887447893
02/2007,16635.742563015672
03/2007,16919.617284877608
04/2007,17107.863175303195
05/2007,17750.257563368767
06/2007,17550.587338022953
07/2007,16718.723280075872
08/2007,16248.34279460051
09/2007,16035.785104732351
10/2007,16509.660483145286
11/2007,14938.114998983809
12/2007,14710.635486719653
01/2008,13410.150739744451
02/2008,13256.695523175315
03/2008,12594.175088540347
04/2008,13338.424099099098
05/2008,13855.197801134898
06/2008,12535.483030956611
07/2008,12433.866600474026
08/2008,13167.759043094671
09/2008,11767.445326155354
10/2008,10209.606177000862
11/2008,9366.9261019879
12/2008,9087.234784795573
01/2009,9115.356897627964
02/2009,8278.609340398607
03/2009,8518.535918244665
04/2009,9956.244858757063
05/2009,10196.954674421904
06/2009,10290.14235177586
07/2009,11193.445077097185
08/2009,11767.578160033632
09/2009,12148.671037355734
10/2009,11547.945101351354
11/2009,11648.31401850496
12/2009,12707.33843537415
01/2010,12793.808678218531
02/2010,13475.450257921888
03/2010,14619.73655315676
04/2010,15374.948854675178
05/2010,15042.617087836192
06/2010,14389.498899845163
07/2010,14608.30718452564
08/2010,14322.214905362775
09/2010,14843.206733587338
10/2010,15199.643970556399
11/2010,16290.336090167717
12/2010,17340.22474180512
01/2011,17076.8361086766
02/2011,17588.898330200955
03/2011,17337.022031392975
04/2011,17207.92560565276
05/2011,17420.499513381994
06/2011,16968.603923060957
07/2011,16800.745196353437
08/2011,15215.767820069203
09/2011,14461.718951344143
10/2011,15598.984143989715
11/2011,15890.343642867789
12/2011,16348.293144756166
01/2012,17268.981139951426
02/2012,17699.504054154575
03/2012,17995.170522611566
04/2012,18064.896284243983
05/2012,17539.28356042893
06/2012,17911.86632247816
07/2012,18335.258588407683
08/2012,18452.17433193244
09/2012,18635.259512761026
10/2012,18440.844223812823
11/2012,18640.52464192207
12/2012,18940.900864029103
01/2013,19520.997269372696
02/2013,20316.495468047833
03/2013,21558.605896134322
04/2013,21385.412714198286
05/2013,21725.379248039364
06/2013,21147.53325688073
07/2013,22181.788210922787
08/2013,21826.781035134118
09/2013,22877.484524250278
10/2013,23349.94967377758
11/2013,23832.791014620532
12/2013,24087.002211587267
01/2014,24124.775266350996
02/2014,24854.24578295808
03/2014,24800.578437771976
04/2014,24284.168844765343
05/2014,25007.794407290367
06/2014,25901.528261824573
07/2014,25379.6500485836
08/2014,26546.978730664236
09/2014,26274.294007788285
10/2014,26850.39328489301
11/2014,27065.601017383644
12/2014,27996.009677950748
01/2015,29527.2630694383
02/2015,31537.327224199285
03/2015,33030.804071010316
04/2015,31993.35287561302
05/2015,33196.62657247038
06/2015,32265.20600589865
07/2015,32780.20753168596
08/2015,30364.83267944717
09/2015,29115.355797554224
10/2015,31311.236316601622
11/2015,32983.62586255789
12/2015,31257.945393588685
01/2016,28749.97889194139
02/2016,29041.974972446733
03/2016,30130.873166447076
04/2016,30801.402350258704
05/2016,31884.76627218935
06/2016,31442.971221401553
07/2016,33149.26136056871
08/2016,33151.528341717574
09/2016,33576.451796434005
10/2016,32981.15000913576
11/2016,35378.6861777151
12/2016,36562.091215254724
01/2017,36665.939377033945
02/2017,38013.25629895253
03/2017,37981.65050042092
04/2017,37910.59615736506
05/2017,37183.595980750375
06/2017,37148.89975464423
07/2017,36977.674852903554
08/2017,36659.02456659619
09/2017,38183.83910723361
10/2017,39302.63137996219
11/2017,39458.17879145919
12/2017,39586.78916868173
01/2018,39466.585694790076
02/2018,38650.489479286065
03/2018,38358.63716419122
04/2018,39502.147735739716
05/2018,41895.88379348663
06/2018,41924.38068279294
07/2018,42159.27730913429
08/2018,43411.96596858639
09/2018,43087.7928040774
10/2018,39710.10284502562
11/2018,39831.69125803328
12/2018,35874.87895196507
01/2019,39445.16504178273
02/2019,41194.02400140155
03/2019,41622.87587894971
04/2019,43003.151230165815
05/2019,40456.76481929872
06/2019,41969.39301405976
07/2019,43085.295892745045
08/2019,42062.63025552737
09/2019,43530.89043989347
10/2019,43680.02586516048
11/2019,45814.7968493899
12/2019,46357.93408403062
01/2020,45820.72633912414
02/2020,41904.37282499773
03/2020,33287.3720335889
04/2020,38049.801351599854
05/2020,39806.031294899425
06/2020,40621.75111627077
07/2020,39902.02017218096
08/2020,41866.18756281408
09/2020,41790.16330714041
10/2020,41825.48978457856
11/2020,47138.990191986646
12/2020,49430.01629859016
01/2021,51020.780982201715
02/2021,53645.96196683442
03/2021,56658.52196162047
04/2021,57134.25571097501
05/2021,57080.73354643062
06/2021,58744.82022046449
07/2021,58319.99327222269
08/2021,60042.961804968734
09/2021,59482.00557042922
10/2021,61290.10528123659
11/2021,59781.369928716
12/2021,62220.18369238919
01/2022,58402.97095733238
02/2022,58318.312706491655
03/2022,59415.45513917665
04/2022,57716.69027514232
05/2022,56703.26117800803
06/2022,52672.10498700299
07/2022,58548.779025299074
08/2022,57783.4917
09/2022,53223.301805498566
10/2022,56551.386221504945
11/2022,57383.49378373169
12/2022,53932.18479279955
01/2023,58032.002953937044
02/2023,58012.85012713061
03/2023,55232.084229885055
04/2023,54666.21828613058
05/2023,54667.201628755975
06/2023,57148.165516289344
07/2023,59110.85031298194
08/2023,57689.97258005153
09/2023,56107.287946007185
10/2023,52549.985309351156
11/2023,55825.82888116367
12/2023,60563.59244343891
01/2024,60053.441358309494
02/2024,62140.828745612416
03/2024,64691.91295902322
04/2024,61908.72261615972